ride_id,pickup_ts,dropoff_ts,passenger_count,trip_km,fare,payment_type,pickup_zone,dropoff_zone
ride_0,2025-11-12 03:10:18,2025-11-12 03:36:18,3,1.84,6.21,CARD,Downtown,Midtown
ride_1,2025-11-12 04:05:18,2025-11-12 04:33:18,2,6.37,16.11,CARD,Suburb,Midtown
ride_2,2025-11-12 04:41:18,2025-11-12 05:01:18,4,7.31,14.56,CASH,Airport,Airport
ride_3,2025-11-12 03:14:18,2025-11-12 03:52:18,3,6.61,15.49,CARD,Midtown,Downtown
ride_4,2025-11-12 03:13:18,2025-11-12 03:29:18,4,10.16,19.59,CASH,Downtown,Suburb
ride_5,2025-11-12 03:32:18,2025-11-12 04:13:18,4,6.47,13.16,CARD,Uptown,Midtown
ride_6,2025-11-12 03:10:18,2025-11-12 03:17:18,3,2.96,6.03,CARD,Suburb,Airport
ride_7,2025-11-12 04:57:18,2025-11-12 05:05:18,3,5.07,11.61,CARD,Downtown,Airport
ride_8,2025-11-12 04:32:18,2025-11-12 05:07:18,1,5.7,13.07,CASH,Downtown,Suburb
ride_9,2025-11-12 04:00:18,2025-11-12 04:38:18,3,8.74,23.58,CASH,Airport,Downtown
ride_10,2025-11-12 03:36:18,2025-11-12 04:13:18,4,4.34,9.28,CASH,Downtown,Midtown
ride_11,2025-11-12 04:09:18,2025-11-12 04:47:18,4,8.13,19.7,CARD,Airport,Uptown
ride_12,2025-11-12 04:18:18,2025-11-12 04:31:18,4,2.19,5.44,CASH,Airport,Airport
ride_13,2025-11-12 04:34:18,2025-11-12 04:46:18,1,10.12,18.03,CARD,Midtown,Midtown
ride_14,2025-11-12 03:37:18,2025-11-12 03:51:18,3,3.66,9.79,CARD,Midtown,Downtown
ride_15,2025-11-12 04:55:18,2025-11-12 05:00:18,4,4.19,8.8,CARD,Uptown,Uptown
ride_16,2025-11-12 03:27:18,2025-11-12 03:35:18,4,8.35,15.22,CASH,Airport,Airport
ride_17,2025-11-12 04:12:18,2025-11-12 05:00:18,3,6.17,13.81,CARD,Downtown,Suburb
ride_18,2025-11-12 04:14:18,2025-11-12 04:47:18,3,6.61,18.68,CARD,Downtown,Midtown
ride_19,2025-11-12 03:19:18,2025-11-12 03:26:18,3,13.52,24.18,CARD,Midtown,Downtown
ride_20,2025-11-12 04:05:18,2025-11-12 04:48:18,2,5.22,12.68,CARD,Suburb,Midtown
ride_21,2025-11-12 03:36:18,2025-11-12 04:20:18,3,5.96,13.22,CASH,Downtown,Airport
ride_22,2025-11-12 04:38:18,2025-11-12 05:04:18,1,7.57,15.28,CARD,Downtown,Midtown
ride_23,2025-11-12 04:36:18,2025-11-12 04:57:18,2,2.97,9.93,CARD,Uptown,Midtown
ride_24,2025-11-12 04:44:18,2025-11-12 05:04:18,3,0.2,3.0,CARD,Airport,Midtown
ride_25,2025-11-12 04:29:18,2025-11-12 04:44:18,3,0.2,3.0,CASH,Suburb,Downtown
ride_26,2025-11-12 03:12:18,2025-11-12 03:27:18,3,2.69,8.55,CASH,Downtown,Airport
ride_27,2025-11-12 03:44:18,2025-11-12 04:23:18,1,1.51,3.9,CASH,Suburb,Midtown
ride_28,2025-11-12 04:07:18,2025-11-12 05:01:18,2,1.16,3.0,CARD,Airport,Midtown
ride_29,2025-11-12 03:34:18,2025-11-12 04:21:18,2,10.34,20.39,CARD,Airport,Midtown
ride_30,2025-11-12 03:35:18,2025-11-12 04:12:18,2,1.92,5.64,CARD,Midtown,Suburb
ride_31,2025-11-12 03:12:18,2025-11-12 03:29:18,3,9.48,19.51,CARD,Midtown,Airport
ride_32,2025-11-12 04:48:18,2025-11-12 05:35:18,4,5.35,13.02,CARD,Suburb,Airport
ride_33,2025-11-12 02:59:18,2025-11-12 03:53:18,3,4.2,10.46,CARD,Midtown,Downtown
ride_34,2025-11-12 03:48:18,2025-11-12 04:42:18,1,0.2,3.0,CARD,Uptown,Suburb
ride_35,2025-11-12 04:33:18,2025-11-12 04:38:18,3,7.21,13.11,CARD,Uptown,Midtown
ride_36,2025-11-12 03:12:18,2025-11-12 03:34:18,3,4.26,11.64,CARD,Suburb,Midtown
ride_37,2025-11-12 03:28:18,2025-11-12 04:11:18,4,4.85,13.85,CASH,Uptown,Uptown
ride_38,2025-11-12 03:05:18,2025-11-12 03:14:18,2,6.47,16.24,CARD,Midtown,Suburb
ride_39,2025-11-12 03:21:18,2025-11-12 03:52:18,2,11.4,20.95,CARD,Suburb,Midtown
ride_40,2025-11-12 04:53:18,2025-11-12 05:12:18,4,7.92,17.53,CARD,Downtown,Suburb
ride_41,2025-11-12 03:45:18,2025-11-12 04:16:18,4,3.0,6.77,CARD,Downtown,Uptown
ride_42,2025-11-12 04:00:18,2025-11-12 04:42:18,4,4.96,10.71,CARD,Midtown,Midtown
ride_43,2025-11-12 03:57:18,2025-11-12 04:25:18,3,4.37,8.31,CASH,Downtown,Airport
ride_44,2025-11-12 04:20:18,2025-11-12 04:53:18,4,3.19,5.92,CARD,Midtown,Uptown
ride_45,2025-11-12 03:03:18,2025-11-12 03:20:18,1,3.13,7.95,CARD,Airport,Downtown
ride_46,2025-11-12 04:39:18,2025-11-12 05:13:18,4,7.23,14.17,CARD,Suburb,Downtown
ride_47,2025-11-12 04:41:18,2025-11-12 04:50:18,4,6.26,10.94,CASH,Uptown,Uptown
ride_48,2025-11-12 03:01:18,2025-11-12 03:07:18,2,7.09,18.45,CARD,Airport,Suburb
ride_49,2025-11-12 04:51:18,2025-11-12 04:56:18,2,4.86,11.18,CARD,Airport,Suburb
ride_50,2025-11-12 04:52:18,2025-11-12 05:38:18,4,4.51,9.65,CARD,Suburb,Downtown
ride_51,2025-11-12 03:53:18,2025-11-12 04:20:18,2,7.53,19.27,CASH,Airport,Midtown
ride_52,2025-11-12 04:10:18,2025-11-12 04:29:18,3,3.69,10.09,CARD,Airport,Suburb
ride_53,2025-11-12 03:42:18,2025-11-12 03:58:18,3,2.58,5.81,CARD,Downtown,Airport
ride_54,2025-11-12 04:51:18,2025-11-12 05:31:18,4,9.98,24.17,CARD,Midtown,Midtown
ride_55,2025-11-12 04:32:18,2025-11-12 04:53:18,2,8.88,18.77,CASH,Uptown,Midtown
ride_56,2025-11-12 02:59:18,2025-11-12 03:45:18,3,2.38,6.93,CASH,Midtown,Uptown
ride_57,2025-11-12 03:31:18,2025-11-12 03:58:18,3,8.69,23.55,CARD,Downtown,Airport
ride_58,2025-11-12 04:29:18,2025-11-12 04:43:18,3,4.73,11.09,CARD,Downtown,Uptown
ride_59,2025-11-12 04:19:18,2025-11-12 04:27:18,2,4.49,11.27,CARD,Suburb,Uptown
ride_60,2025-11-12 04:09:18,2025-11-12 04:39:18,4,4.05,10.19,CARD,Airport,Uptown
ride_61,2025-11-12 03:39:18,2025-11-12 04:12:18,1,6.7,12.0,CARD,Airport,Suburb
ride_62,2025-11-12 04:35:18,2025-11-12 05:25:18,1,6.31,14.99,CARD,Airport,Downtown
ride_63,2025-11-12 04:57:18,2025-11-12 05:09:18,1,3.19,9.94,CASH,Downtown,Uptown
ride_64,2025-11-12 03:56:18,2025-11-12 04:17:18,4,4.91,9.81,CARD,Midtown,Downtown
ride_65,2025-11-12 03:18:18,2025-11-12 03:49:18,2,0.23,3.0,CARD,Downtown,Uptown
ride_66,2025-11-12 03:49:18,2025-11-12 04:09:18,3,8.07,14.28,CARD,Airport,Downtown
ride_67,2025-11-12 03:05:18,2025-11-12 03:51:18,2,0.2,3.0,CARD,Midtown,Downtown
ride_68,2025-11-12 03:55:18,2025-11-12 04:38:18,1,4.14,10.37,CARD,Downtown,Downtown
ride_69,2025-11-12 04:59:18,2025-11-12 05:46:18,4,2.82,6.23,CASH,Suburb,Midtown
ride_70,2025-11-12 04:09:18,2025-11-12 04:21:18,2,1.6,3.57,CASH,Downtown,Uptown
ride_71,2025-11-12 03:03:18,2025-11-12 03:11:18,2,7.24,14.76,CARD,Suburb,Airport
ride_72,2025-11-12 04:52:18,2025-11-12 05:24:18,3,3.74,9.55,CASH,Suburb,Suburb
ride_73,2025-11-12 03:30:18,2025-11-12 03:58:18,2,9.91,21.2,CARD,Uptown,Uptown
ride_74,2025-11-12 04:09:18,2025-11-12 04:36:18,4,3.88,6.46,CARD,Downtown,Uptown
ride_75,2025-11-12 03:41:18,2025-11-12 03:48:18,3,4.32,10.84,CARD,Airport,Uptown
ride_76,2025-11-12 03:45:18,2025-11-12 04:22:18,3,5.71,11.63,CASH,Downtown,Uptown
ride_77,2025-11-12 03:08:18,2025-11-12 03:51:18,2,7.42,15.87,CASH,Downtown,Airport
ride_78,2025-11-12 03:34:18,2025-11-12 04:01:18,4,5.24,12.89,CASH,Suburb,Midtown
ride_79,2025-11-12 03:25:18,2025-11-12 03:32:18,4,8.47,15.6,CASH,Downtown,Uptown
ride_80,2025-11-12 04:25:18,2025-11-12 05:15:18,4,3.34,8.06,CASH,Suburb,Downtown
ride_81,2025-11-12 03:32:18,2025-11-12 03:59:18,3,8.54,15.71,CARD,Suburb,Downtown
ride_82,2025-11-12 04:30:18,2025-11-12 05:09:18,2,8.1,12.73,CASH,Uptown,Suburb
ride_83,2025-11-12 04:35:18,2025-11-12 05:20:18,3,3.65,8.1,CASH,Midtown,Downtown
ride_84,2025-11-12 04:03:18,2025-11-12 04:41:18,2,8.52,17.97,CARD,Midtown,Midtown
ride_85,2025-11-12 03:23:18,2025-11-12 03:40:18,4,4.27,9.63,CARD,Suburb,Midtown
ride_86,2025-11-12 04:03:18,2025-11-12 04:18:18,1,5.41,12.69,CARD,Downtown,Downtown
ride_87,2025-11-12 04:18:18,2025-11-12 04:23:18,2,4.02,10.87,CASH,Suburb,Downtown
