ride_id,pickup_ts,dropoff_ts,passenger_count,trip_km,fare,payment_type,pickup_zone,dropoff_zone
ride_300,2025-11-12 02:46:24,2025-11-12 03:08:24,1,5.29,10.04,CASH,Airport,Downtown
ride_301,2025-11-12 02:26:24,2025-11-12 03:11:24,3,6.33,11.76,CARD,Suburb,Uptown
ride_302,2025-11-12 02:42:24,2025-11-12 02:56:24,3,3.37,8.82,CARD,Uptown,Uptown
ride_303,2025-11-12 02:46:24,2025-11-12 03:01:24,4,2.43,6.89,CARD,Uptown,Midtown
ride_304,2025-11-12 02:58:24,2025-11-12 03:30:24,4,4.67,8.73,CARD,Uptown,Uptown
ride_305,2025-11-12 02:33:24,2025-11-12 03:03:24,4,9.87,22.1,CASH,Downtown,Airport
ride_306,2025-11-12 02:55:24,2025-11-12 03:26:24,1,10.4,25.68,CARD,Uptown,Downtown
ride_307,2025-11-12 01:58:24,2025-11-12 02:15:24,2,1.29,4.25,CASH,Midtown,Midtown
ride_308,2025-11-12 02:44:24,2025-11-12 03:35:24,2,1.83,6.31,CARD,Uptown,Airport
ride_309,2025-11-12 03:20:24,2025-11-12 03:50:24,2,2.69,7.23,CASH,Suburb,Uptown
ride_310,2025-11-12 03:40:24,2025-11-12 03:50:24,1,11.56,27.14,CASH,Midtown,Uptown
ride_311,2025-11-12 02:28:24,2025-11-12 02:45:24,2,0.2,3.0,CASH,Suburb,Airport
ride_312,2025-11-12 03:37:24,2025-11-12 03:51:24,2,0.45,3.0,CARD,Downtown,Uptown
ride_313,2025-11-12 03:32:24,2025-11-12 04:22:24,4,0.68,3.0,CARD,Suburb,Airport
ride_314,2025-11-12 03:45:24,2025-11-12 04:33:24,2,5.61,12.47,CARD,Airport,Suburb
ride_315,2025-11-12 02:19:24,2025-11-12 02:35:24,2,4.33,13.15,CARD,Midtown,Downtown
ride_316,2025-11-12 03:55:24,2025-11-12 04:26:24,1,5.5,13.02,CASH,Suburb,Airport
ride_317,2025-11-12 03:12:24,2025-11-12 03:29:24,2,6.85,12.35,CARD,Suburb,Suburb
ride_318,2025-11-12 03:30:24,2025-11-12 04:25:24,2,5.59,14.24,CARD,Airport,Midtown
ride_319,2025-11-12 02:45:24,2025-11-12 03:05:24,3,0.39,3.44,CARD,Airport,Uptown
ride_320,2025-11-12 03:07:24,2025-11-12 03:14:24,1,5.02,13.54,CARD,Uptown,Airport
ride_321,2025-11-12 03:56:24,2025-11-12 04:18:24,3,0.61,3.0,CARD,Midtown,Airport
ride_322,2025-11-12 02:08:24,2025-11-12 02:27:24,3,6.73,17.41,CARD,Uptown,Uptown
ride_323,2025-11-12 03:29:24,2025-11-12 03:45:24,4,6.83,12.68,CASH,Midtown,Uptown
ride_324,2025-11-12 02:24:24,2025-11-12 02:33:24,4,9.66,22.86,CARD,Airport,Uptown
ride_325,2025-11-12 02:12:24,2025-11-12 02:32:24,4,1.48,3.73,CARD,Downtown,Suburb
ride_326,2025-11-12 03:20:24,2025-11-12 03:57:24,3,5.89,16.88,CARD,Midtown,Downtown
ride_327,2025-11-12 03:26:24,2025-11-12 04:00:24,3,6.2,15.96,CARD,Uptown,Airport
