ride_id,pickup_ts,dropoff_ts,passenger_count,trip_km,fare,payment_type,pickup_zone,dropoff_zone
ride_900,2025-11-12 03:04:18,2025-11-12 03:31:18,3,6.41,18.04,CASH,Uptown,Airport
ride_901,2025-11-12 03:20:18,2025-11-12 03:56:18,1,0.2,3.28,CARD,Midtown,Suburb
ride_902,2025-11-12 04:02:18,2025-11-12 04:48:18,2,5.74,14.9,CARD,Airport,Airport
ride_903,2025-11-12 03:43:18,2025-11-12 04:17:18,4,8.19,13.94,CASH,Downtown,Uptown
ride_904,2025-11-12 04:08:18,2025-11-12 04:19:18,1,1.13,4.72,CARD,Uptown,Midtown
ride_905,2025-11-12 03:00:18,2025-11-12 03:36:18,2,0.2,3.0,CARD,Uptown,Airport
ride_906,2025-11-12 03:33:18,2025-11-12 03:40:18,2,5.53,16.05,CARD,Suburb,Downtown
ride_907,2025-11-12 04:12:18,2025-11-12 04:54:18,1,2.53,6.06,CARD,Airport,Midtown
ride_908,2025-11-12 04:56:18,2025-11-12 05:17:18,4,6.45,14.93,CARD,Downtown,Midtown
ride_909,2025-11-12 03:57:18,2025-11-12 04:28:18,2,9.27,25.5,CASH,Downtown,Suburb
ride_910,2025-11-12 03:10:18,2025-11-12 03:25:18,2,0.95,3.0,CARD,Midtown,Airport
ride_911,2025-11-12 03:07:18,2025-11-12 03:13:18,2,2.98,7.7,CARD,Suburb,Midtown
ride_912,2025-11-12 03:19:18,2025-11-12 03:56:18,3,0.69,3.0,CARD,Uptown,Uptown
ride_913,2025-11-12 04:56:18,2025-11-12 05:10:18,1,4.84,8.49,CASH,Airport,Downtown
ride_914,2025-11-12 03:04:18,2025-11-12 03:51:18,3,1.17,3.17,CASH,Suburb,Midtown
ride_915,2025-11-12 04:13:18,2025-11-12 04:42:18,1,2.75,4.83,CARD,Midtown,Downtown
ride_916,2025-11-12 04:43:18,2025-11-12 05:28:18,3,6.11,17.73,CARD,Downtown,Suburb
ride_917,2025-11-12 03:31:18,2025-11-12 03:44:18,4,4.36,11.42,CARD,Midtown,Suburb
ride_918,2025-11-12 03:33:18,2025-11-12 04:07:18,3,5.42,14.51,CARD,Uptown,Downtown
ride_919,2025-11-12 04:24:18,2025-11-12 04:40:18,2,4.02,9.51,CARD,Downtown,Uptown
ride_920,2025-11-12 03:14:18,2025-11-12 03:50:18,3,3.03,5.98,CARD,Suburb,Suburb
ride_921,2025-11-12 03:00:18,2025-11-12 03:27:18,1,5.47,11.64,CASH,Airport,Uptown
ride_922,2025-11-12 04:15:18,2025-11-12 04:57:18,2,9.37,24.95,CARD,Uptown,Airport
ride_923,2025-11-12 04:37:18,2025-11-12 05:13:18,2,6.07,12.0,CARD,Midtown,Midtown
ride_924,2025-11-12 03:24:18,2025-11-12 03:48:18,3,5.59,10.95,CASH,Suburb,Downtown
ride_925,2025-11-12 03:25:18,2025-11-12 04:19:18,2,6.72,12.38,CARD,Uptown,Airport
ride_926,2025-11-12 03:57:18,2025-11-12 04:28:18,3,3.18,6.78,CARD,Midtown,Suburb
ride_927,2025-11-12 03:20:18,2025-11-12 03:48:18,2,3.61,9.23,CASH,Suburb,Downtown
ride_928,2025-11-12 03:12:18,2025-11-12 04:02:18,4,2.38,7.26,CARD,Downtown,Midtown
ride_929,2025-11-12 03:32:18,2025-11-12 03:56:18,4,0.2,3.0,CARD,Uptown,Uptown
ride_930,2025-11-12 04:03:18,2025-11-12 04:58:18,1,6.73,18.18,CASH,Suburb,Airport
ride_931,2025-11-12 03:51:18,2025-11-12 04:04:18,3,0.2,3.0,CASH,Downtown,Airport
ride_932,2025-11-12 03:17:18,2025-11-12 03:42:18,1,5.83,11.23,CASH,Uptown,Airport
ride_933,2025-11-12 03:52:18,2025-11-12 03:58:18,1,7.79,14.9,CARD,Midtown,Downtown
ride_934,2025-11-12 04:39:18,2025-11-12 05:31:18,1,4.98,9.98,CARD,Midtown,Suburb
ride_935,2025-11-12 04:49:18,2025-11-12 04:55:18,1,4.46,10.11,CARD,Suburb,Downtown
ride_936,2025-11-12 04:56:18,2025-11-12 05:06:18,2,6.22,12.06,CASH,Downtown,Midtown
ride_937,2025-11-12 03:42:18,2025-11-12 04:24:18,4,6.46,14.66,CARD,Suburb,Midtown
ride_938,2025-11-12 04:58:18,2025-11-12 05:48:18,4,6.28,13.72,CARD,Midtown,Midtown
ride_939,2025-11-12 04:17:18,2025-11-12 04:40:18,3,9.38,23.02,CARD,Airport,Suburb
ride_940,2025-11-12 03:10:18,2025-11-12 03:48:18,3,7.19,12.62,CARD,Uptown,Uptown
ride_941,2025-11-12 03:32:18,2025-11-12 04:17:18,1,6.75,13.09,CASH,Uptown,Downtown
ride_942,2025-11-12 03:51:18,2025-11-12 03:59:18,1,4.01,7.38,CASH,Suburb,Airport
ride_943,2025-11-12 03:48:18,2025-11-12 04:05:18,2,0.2,3.14,CASH,Airport,Suburb
