ride_id,pickup_ts,dropoff_ts,passenger_count,trip_km,fare,payment_type,pickup_zone,dropoff_zone
ride_600,2025-11-12 02:05:24,2025-11-12 02:56:24,2,5.12,14.74,CASH,Midtown,Downtown
ride_601,2025-11-12 02:53:24,2025-11-12 03:16:24,4,5.17,14.25,CARD,Uptown,Suburb
ride_602,2025-11-12 03:16:24,2025-11-12 03:44:24,4,6.03,15.2,CARD,Midtown,Midtown
ride_603,2025-11-12 03:18:24,2025-11-12 04:01:24,2,3.38,7.85,CARD,Airport,Airport
ride_604,2025-11-12 02:06:24,2025-11-12 02:14:24,2,9.53,23.26,CARD,Midtown,Suburb
ride_605,2025-11-12 02:49:24,2025-11-12 03:41:24,4,1.76,3.36,CARD,Suburb,Uptown
ride_606,2025-11-12 03:19:24,2025-11-12 03:52:24,4,2.92,6.07,CASH,Airport,Uptown
ride_607,2025-11-12 02:52:24,2025-11-12 03:21:24,4,6.02,14.33,CASH,Uptown,Downtown
ride_608,2025-11-12 02:26:24,2025-11-12 02:55:24,3,1.16,4.11,CARD,Uptown,Uptown
ride_609,2025-11-12 02:12:24,2025-11-12 02:25:24,1,7.1,17.09,CASH,Suburb,Suburb
ride_610,2025-11-12 03:19:24,2025-11-12 03:49:24,4,8.04,17.2,CARD,Downtown,Midtown
ride_611,2025-11-12 03:53:24,2025-11-12 03:58:24,2,7.03,14.22,CARD,Suburb,Downtown
ride_612,2025-11-12 03:53:24,2025-11-12 04:09:24,1,3.99,10.1,CARD,Downtown,Airport
ride_613,2025-11-12 03:28:24,2025-11-12 04:18:24,2,7.16,18.02,CASH,Downtown,Suburb
ride_614,2025-11-12 02:55:24,2025-11-12 03:19:24,4,2.22,5.02,CARD,Airport,Midtown
ride_615,2025-11-12 02:47:24,2025-11-12 03:09:24,4,1.16,4.78,CARD,Airport,Airport
ride_616,2025-11-12 02:38:24,2025-11-12 02:53:24,3,4.4,8.64,CASH,Uptown,Airport
ride_617,2025-11-12 03:17:24,2025-11-12 03:45:24,4,0.71,3.18,CASH,Airport,Suburb
ride_618,2025-11-12 03:14:24,2025-11-12 03:53:24,2,3.87,10.24,CARD,Airport,Suburb
ride_619,2025-11-12 03:20:24,2025-11-12 03:44:24,1,3.68,8.55,CARD,Midtown,Suburb
ride_620,2025-11-12 02:57:24,2025-11-12 03:43:24,3,1.14,3.48,CARD,Uptown,Downtown
ride_621,2025-11-12 03:42:24,2025-11-12 04:05:24,1,10.02,21.35,CARD,Suburb,Airport
ride_622,2025-11-12 03:43:24,2025-11-12 03:49:24,1,1.06,3.35,CARD,Suburb,Downtown
ride_623,2025-11-12 02:19:24,2025-11-12 03:13:24,2,5.45,11.21,CARD,Downtown,Downtown
ride_624,2025-11-12 02:40:24,2025-11-12 03:03:24,1,2.49,6.85,CARD,Suburb,Suburb
ride_625,2025-11-12 03:05:24,2025-11-12 03:11:24,3,2.52,6.57,CARD,Airport,Downtown
ride_626,2025-11-12 02:35:24,2025-11-12 03:27:24,1,3.35,9.27,CARD,Uptown,Suburb
ride_627,2025-11-12 03:23:24,2025-11-12 03:47:24,2,7.07,17.37,CARD,Airport,Suburb
ride_628,2025-11-12 03:01:24,2025-11-12 03:26:24,3,7.49,16.97,CARD,Airport,Uptown
ride_629,2025-11-12 03:54:24,2025-11-12 04:48:24,1,6.7,15.98,CASH,Suburb,Suburb
ride_630,2025-11-12 03:22:24,2025-11-12 03:43:24,4,6.24,14.33,CARD,Airport,Downtown
ride_631,2025-11-12 03:13:24,2025-11-12 03:50:24,2,3.54,8.1,CARD,Midtown,Airport
ride_632,2025-11-12 03:55:24,2025-11-12 04:21:24,3,7.04,17.13,CASH,Downtown,Suburb
ride_633,2025-11-12 03:46:24,2025-11-12 04:13:24,4,5.2,9.06,CASH,Midtown,Uptown
ride_634,2025-11-12 02:05:24,2025-11-12 02:51:24,3,0.97,3.54,CARD,Suburb,Uptown
ride_635,2025-11-12 03:07:24,2025-11-12 03:37:24,1,7.85,18.43,CARD,Suburb,Airport
ride_636,2025-11-12 02:48:24,2025-11-12 03:17:24,1,9.83,16.37,CARD,Uptown,Uptown
ride_637,2025-11-12 02:03:24,2025-11-12 02:20:24,2,4.11,7.9,CARD,Suburb,Airport
ride_638,2025-11-12 03:11:24,2025-11-12 03:36:24,4,2.04,3.95,CARD,Downtown,Uptown
ride_639,2025-11-12 03:57:24,2025-11-12 04:09:24,2,0.9,3.13,CARD,Suburb,Airport
ride_640,2025-11-12 03:48:24,2025-11-12 04:00:24,2,0.96,3.31,CARD,Midtown,Downtown
ride_641,2025-11-12 03:30:24,2025-11-12 03:37:24,2,0.2,3.0,CASH,Airport,Midtown
ride_642,2025-11-12 02:13:24,2025-11-12 02:41:24,4,2.73,7.36,CARD,Uptown,Downtown
ride_643,2025-11-12 02:12:24,2025-11-12 02:23:24,2,4.86,10.88,CARD,Midtown,Uptown
ride_644,2025-11-12 02:38:24,2025-11-12 03:28:24,2,7.8,20.75,CARD,Midtown,Midtown
ride_645,2025-11-12 02:52:24,2025-11-12 03:32:24,2,0.2,3.0,CARD,Uptown,Airport
ride_646,2025-11-12 03:55:24,2025-11-12 04:27:24,4,6.92,11.29,CARD,Airport,Midtown
ride_647,2025-11-12 02:12:24,2025-11-12 02:17:24,1,6.71,12.07,CARD,Suburb,Airport
ride_648,2025-11-12 03:36:24,2025-11-12 04:30:24,3,7.04,16.65,CARD,Downtown,Midtown
ride_649,2025-11-12 03:14:24,2025-11-12 03:42:24,2,0.28,3.0,CARD,Suburb,Uptown
ride_650,2025-11-12 02:05:24,2025-11-12 02:58:24,1,4.27,11.23,CASH,Downtown,Midtown
ride_651,2025-11-12 03:21:24,2025-11-12 03:31:24,3,3.81,8.2,CASH,Downtown,Airport
ride_652,2025-11-12 03:21:24,2025-11-12 03:44:24,3,5.15,11.05,CARD,Suburb,Airport
ride_653,2025-11-12 03:05:24,2025-11-12 03:39:24,2,7.06,15.82,CARD,Airport,Downtown
ride_654,2025-11-12 03:19:24,2025-11-12 04:14:24,2,1.36,5.25,CARD,Midtown,Downtown
ride_655,2025-11-12 03:26:24,2025-11-12 04:04:24,4,7.19,13.18,CARD,Uptown,Airport
ride_656,2025-11-12 03:55:24,2025-11-12 04:47:24,1,3.64,10.22,CARD,Midtown,Suburb
ride_657,2025-11-12 02:01:24,2025-11-12 02:32:24,2,4.59,8.54,CASH,Suburb,Airport
ride_658,2025-11-12 02:57:24,2025-11-12 03:12:24,3,9.79,16.3,CARD,Suburb,Midtown
ride_659,2025-11-12 02:02:24,2025-11-12 02:10:24,1,4.26,10.93,CARD,Uptown,Airport
ride_660,2025-11-12 02:45:24,2025-11-12 03:15:24,2,4.23,7.71,CASH,Downtown,Suburb
ride_661,2025-11-12 03:31:24,2025-11-12 03:52:24,1,3.98,9.87,CASH,Midtown,Downtown
ride_662,2025-11-12 02:45:24,2025-11-12 02:58:24,4,4.79,11.41,CARD,Midtown,Airport
ride_663,2025-11-12 02:00:24,2025-11-12 02:33:24,1,1.72,5.49,CARD,Airport,Midtown
ride_664,2025-11-12 03:39:24,2025-11-12 04:13:24,1,1.14,3.0,CARD,Downtown,Airport
ride_665,2025-11-12 02:19:24,2025-11-12 03:00:24,2,0.94,3.0,CARD,Midtown,Airport
ride_666,2025-11-12 02:15:24,2025-11-12 02:53:24,1,3.11,8.52,CARD,Downtown,Airport
ride_667,2025-11-12 02:09:24,2025-11-12 02:22:24,4,1.79,5.5,CASH,Downtown,Downtown
ride_668,2025-11-12 02:05:24,2025-11-12 02:15:24,2,2.22,5.75,CARD,Midtown,Suburb
